username,teams
punkstarman,"[""__DED_AIL_IL_zenika-factory"",""__DED_AIL_IL_ext"",""__IRIS_ext"",""__DED_ext"",""__IRIS_cds"",""__IRIS_all"",""__DED_AIL_IL_PIPELINE_CONTRIB"",""__FACTORY_ext"",""__FACTORY_CICD_ext""]"
irisoperator,"[""__irisoperator""]"
smetivie,"[""__IRIS_int"",""__DED_int"",""__IRIS_all"",""__DED_MACDA_int""]"
xanagit,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__LAB_assistant-liste-courses"",""__DED_int"",""__DED_AIL_IL_int_devteam"",""__IRIS_all"",""__TRANSFOSI_RANCHER_int"",""__FACTORY_int""]"
Jobi29,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__IRIS_all"",""__DED_GE_GDIA_int""]"
frleduc,"[""__IRIS_int"",""__IRIS_all"",""__TRANSFOSI_RANCHER_int"",""__FACTORY_int"",""__FACTORY_CICD_int""]"
gderamecourt,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__LAB_assistant-liste-courses"",""__DED_int"",""__DED_AIL_IL_int_devteam"",""__IRIS_all""]"
ylegurun,"[""__IRIS_int"",""__LAB_google-directory"",""__DED_GE_RHC_int"",""__DED_GE_FF_int"",""__DED_int"",""__IRIS_all""]"
raphaelpare,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__DED_AIL_IL_int_devteam"",""__IRIS_all""]"
TonyLegeay,"[""__IRIS_int"",""__DOPSI_FIL_BW_int"",""__DED_BDD_EDH_int"",""__LAB_ucolivraison"",""__DOPSI_INF_INF_int"",""__DOPSI_int"",""__DED_int"",""__IRIS_all"",""__TRANSFOSI_AUTOMATOR_int"",""__FACTORY_int""]"
bcorre,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__IRIS_all"",""__TRANSFOSI_RANCHER_int"",""__ded_pc_cumtfa_audit"",""__FACTORY_int""]"
sbourgine,"[""__IRIS_int"",""__LAB_smart-meeting"",""__LAB_google-directory"",""__DED_AIL_IL_int"",""__LAB_assistant-liste-courses"",""__LAB_ucolivraison_niji"",""__LAB_ucolivraison"",""__DED_int"",""__IRIS_all"",""__LAB_helpdesk-chatbot"",""__LAB_helpdesk-chatbot_smile"",""__LAB_smart-freeze_niji"",""__LAB_resa-irislab"",""__LAB_iot-salles-serveur-magasin_paloit""]"
StephaneV44,"[""__IRIS_int"",""__DOPSI_FIL_IUL_int"",""__DOPSI_E_SIC_int"",""__DOPSI_INF_INF_int"",""__DOPSI_int"",""__IRIS_all""]"
CesarDINDELEUX,"[""__IRIS_int"",""__DOPSI_INF_OF_int"",""__DOPSI_int"",""__IRIS_all""]"
joangaborit,"[""__IRIS_int"",""__DOPSI_INF_OF_int"",""__DOPSI_int"",""__IRIS_all""]"
jgoizil,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__IRIS_all"",""__FACTORY_int"",""__FACTORY_CICD_int""]"
ldu-iRiS,"[""__IRIS_int"",""__LAB_locus"",""__LAB_assistant-liste-courses"",""__DED_int"",""__IRIS_all"",""__LAB_resa-irislab"",""__LAB-get-a-room"",""__LAB_screenR7"",""__DED_MACDA_int""]"
MathildeSc,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__IRIS_all""]"
laurentgandon,"[""__IRIS_int"",""__DED_int"",""__IRIS_all"",""__DED_MACDA_int""]"
Singebob,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__DED_AIL_IL_int_devteam"",""__IRIS_all"",""__FACTORY_int"",""__FACTORY_CICD_int""]"
AlanPIRIOU,"[""__IRIS_int"",""__DED_SC_P_int"",""__DED_int"",""__IRIS_all""]"
SMouti,"[""__IRIS_int"",""__DED_SC_P_int"",""__DED_int"",""__IRIS_all""]"
jrmetais,"[""__IRIS_int"",""__DED_GC_R_int"",""__DED_int"",""__IRIS_all"",""__DED_CORECADO_int""]"
Martial-Iris,"[""__IRIS_int"",""__DED_GE_RHC_int"",""__DED_int"",""__IRIS_all""]"
amahe,"[""__IRIS_int"",""__DED_PC_CUMTFA_int"",""__DED_int"",""__IRIS_all""]"
cmahe44,"[""__IRIS_int"",""__DED_SC_EL_int"",""__DED_int"",""__IRIS_all"",""__LAB_iot-salles-serveur-magasin""]"
alorfrois,"[""__IRIS_int"",""__DED_SC_P_int"",""__DED_int"",""__IRIS_all""]"
JorisPichard,"[""__IRIS_int"",""__LAB_assistant-liste-courses"",""__DED_PC_ELU_int"",""__DED_int"",""__IRIS_all"",""__DED_MACDA_int""]"
olivierkim,"[""__IRIS_int"",""__DOPSI_INF_OF_int"",""__DOPSI_int"",""__IRIS_all""]"
AnatoleSU,"[""__IRIS_int"",""__DOPSI_INF_OF_int"",""__DOPSI_int"",""__IRIS_all""]"
N-kane,"[""__IRIS_int"",""__DED_SC_P_int"",""__DED_int"",""__IRIS_all""]"
ptarnaud,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__IRIS_all"",""__LAB_ssi-ucleaner""]"
thibaudfr,"[""__IRIS_int"",""__DOPSI_FIL_BW_int"",""__LAB_rayon-augmente"",""__DED_AIL_AE_int"",""__DOPSI_int"",""__DED_int"",""__IRIS_all"",""__TRANSFOSI_RANCHER_int"",""__TRAN_CLOUD"",""__FACTORY_int""]"
Matthieuleroy,"[""__IRIS_int"",""__DED_AIL_AE_int"",""__DED_int"",""__IRIS_all""]"
sclenet,"[""__IRIS_int"",""__DED_int"",""__IRIS_all"",""__DED_MACDA_int""]"
GESCOMIRIS,"[""__IRIS_int"",""__LAB_ucolivraison"",""__DED_GC_P_int"",""__DED_int"",""__IRIS_all""]"
arocard,"[""__IRIS_int"",""__DOPSI_FIL_BW_int"",""__DOPSI_INF_INF_int"",""__DOPSI_int"",""__IRIS_all"",""__PILOTE_ansible"",""__TRANSFOSI_RANCHER_int"",""__FACTORY_int""]"
stugaudin,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
tlarmier,"[""__IRIS_int"",""__DOPSI_INT_IDM_int"",""__DOPSI_int"",""__IRIS_all""]"
Xenvsxen,"[""__IRIS_int"",""__DED_AIL_AE_int"",""__DED_int"",""__IRIS_all"",""__TRANSFOSI_RANCHER_int"",""__FACTORY_int""]"
Julien-SU,"[""__IRIS_int"",""__DED_PC_CUMTFA_int"",""__DED_int"",""__IRIS_all""]"
mleblanciris,"[""__IRIS_int"",""__DED_GC_P_int"",""__DED_int"",""__IRIS_all""]"
Flmaison,"[""__IRIS_int"",""__DOPSI_FIL_BW_int"",""__DOPSI_E_SIC_int"",""__DOPSI_int"",""__IRIS_all"",""__TRANSFOSI_RANCHER_int"",""__FACTORY_int""]"
sgatard,"[""__IRIS_int"",""__DOPSI_FIL_BW_int"",""__DOPSI_INF_INF_int"",""__DOPSI_int"",""__IRIS_all""]"
edubois1976,"[""__IRIS_int"",""__DED_GC_P_int"",""__DED_int"",""__IRIS_all""]"
afribault,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
nlecadet,"[""__IRIS_int"",""__DOPSI_FIL_BW_int"",""__DOPSI_E_SIC_int"",""__DOPSI_int"",""__IRIS_all""]"
clproust,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
terrytch,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__IRIS_all"",""__DED_GE_GDIA_int""]"
LucileLavergne,"[""__IRIS_int"",""__DED_int"",""__IRIS_all"",""__DED_GC_O_int""]"
JamesHoumadi,"[""__IRIS_int"",""__DED_GE_RHC_int"",""__DED_int"",""__IRIS_all""]"
vouvrard,"[""__IRIS_int"",""__LAB_smart-meeting"",""__LAB_google-directory"",""__DOPSI_INT_IDT_int"",""__DOPSI_int"",""__IRIS_all"",""__LAB_casier-connecte""]"
stufdav,"[""__IRIS_int"",""__DOPSI_FIL_IUL_int"",""__DOPSI_INF_INF_int"",""__DOPSI_int"",""__IRIS_all"",""__PILOTE_ansible""]"
floriancaillet,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__DED_AIL_IL_int_devteam"",""__IRIS_all""]"
schampio-u,"[""__IRIS_int"",""__DED_GE_RHC_int"",""__DED_int"",""__IRIS_all""]"
ElodieBouilleteau,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
placour,"[""__IRIS_int"",""__DED_SC_EL_int"",""__DED_int"",""__IRIS_all""]"
fredgieiris,"[""__IRIS_int"",""__DED_GC_R_int"",""__LAB_assistant-liste-courses"",""__DED_int"",""__IRIS_all""]"
anthonybossard,"[""__IRIS_int"",""__DED_SC_EA_int"",""__DED_int"",""__IRIS_all""]"
Pastriste,"[""__IRIS_int"",""__LAB_ucolivraison"",""__DED_GC_P_int"",""__DED_int"",""__IRIS_all"",""__LAB_smartcar""]"
nbonzonsu,"[""__IRIS_int"",""__DED_GC_R_int"",""__DED_int"",""__IRIS_all""]"
aborgeai,"[""__IRIS_int"",""__DOPSI_FIL_WVS_int"",""__DOPSI_INF_INF_int"",""__DOPSI_int"",""__IRIS_all""]"
fiodor44,"[""__IRIS_int"",""__DED_SC_P_int"",""__DED_int"",""__IRIS_all""]"
corinneabar,"[""__IRIS_int"",""__DED_int"",""__IRIS_all"",""__DED_GC_O_int""]"
pthomasiris,"[""__IRIS_int"",""__DED_GC_R_int"",""__DED_SC_EA_int"",""__DED_int"",""__IRIS_all""]"
vleguern,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__IRIS_all""]"
florentmanzi,"[""__IRIS_int"",""__DOPSI_FIL_IUL_int"",""__DOPSI_INT_IDT_int"",""__DOPSI_int"",""__IRIS_all""]"
celinevincent,"[""__IRIS_int"",""__DED_GC_R_int"",""__LAB_assistant-liste-courses"",""__LAB_ucolivraison"",""__DED_int"",""__IRIS_all""]"
EMMASSONIRIS,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_BDD_D_int"",""__DED_int"",""__IRIS_all""]"
JoBrou,"[""__IRIS_int"",""__LAB_ucolivraison"",""__DED_SC_P_int"",""__DOPSI_int"",""__DED_int"",""__IRIS_all"",""__DOPSI_E_HD_int""]"
aldupont,"[""__IRIS_int"",""__LAB_ucolivraison"",""__DOPSI_INT_CIQ_int"",""__DOPSI_int"",""__IRIS_all""]"
samuelbonnet,"[""__IRIS_int"",""__DED_GC_R_int"",""__LAB_ucolivraison"",""__DED_int"",""__IRIS_all"",""__DED_GC_M_int"",""__LAB_iot-salles-serveur-magasin""]"
pdeshaye,"[""__IRIS_int"",""__DED_int"",""__IRIS_all"",""__DED_GC_M_int"",""__LAB_iot-salles-serveur-magasin""]"
claudecroguennoc,"[""__IRIS_int"",""__DED_int"",""__IRIS_all"",""__TRANSFOSI_int"",""__LAB_iot-salles-serveur-magasin""]"
nmourgue,"[""__IRIS_int"",""__DED_GC_R_int"",""__LAB_assistant-liste-courses"",""__DED_int"",""__IRIS_all""]"
StephaneRousseau,"[""__IRIS_int"",""__LAB_assistant-liste-courses"",""__DOPSI_int"",""__IRIS_all"",""__DOPSI_INT_PPT_int""]"
valerieMet,"[""__IRIS_int"",""__DED_PC_ELU_int"",""__DED_int"",""__IRIS_all"",""__DED_PC_ABO_int""]"
Guillaume-systeme-u,"[""__IRIS_int"",""__DED_GC_R_int"",""__LAB_ucolivraison"",""__DED_int"",""__IRIS_all""]"
AlexMenard-Iris,"[""__IRIS_int"",""__DOPSI_INT_IDM_int"",""__DOPSI_int"",""__IRIS_all""]"
fgendre-u-iris,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
florianegoussin,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_BDD_D_int"",""__DED_int"",""__IRIS_all""]"
ndupont-iris,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
germ7,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__DED_AIL_IL_int_devteam"",""__IRIS_all""]"
perrinedionisi,"[""__IRIS_int"",""__DED_GC_P_int"",""__DED_int"",""__IRIS_all""]"
vpeigne,"[""__IRIS_int"",""__DED_SC_EL_int"",""__DED_int"",""__IRIS_all""]"
gregorywajs,"[""__IRIS_int"",""__LAB_assistant-liste-courses"",""__DED_GC_P_int"",""__DED_int"",""__IRIS_all"",""__LAB_smartcar""]"
abouyeriris,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all"",""__DED_CORECADO_int""]"
laurent-choblet,"[""__IRIS_int"",""__DOPSI_FIL_BW_int"",""__LAB_smart-meeting"",""__DED_AIL_IL_int"",""__DOPSI_INT_IDM_int"",""__DED_GC_P_int"",""__DOPSI_int"",""__DED_int"",""__IRIS_all"",""__PILOTE_ansible"",""__TRANSFOSI_RANCHER_int"",""__FACTORY_int"",""__FACTORY_CICD_int""]"
eguittonneau,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
QuentinMichineauU,"[""__IRIS_int"",""__DED_SC_EA_int"",""__DED_int"",""__IRIS_all""]"
NicolasPasquier,"[""__IRIS_int"",""__DOPSI_INF_OF_int"",""__DOPSI_int"",""__DED_int"",""__IRIS_all"",""__DED_ME_int""]"
llegrive,"[""__IRIS_int"",""__DED_GC_P_int"",""__DED_int"",""__IRIS_all"",""__LAB_smartcar""]"
Judiamani,"[""__IRIS_int"",""__DED_GC_R_int"",""__DED_int"",""__IRIS_all""]"
vmacp,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
